date,respondent,respondent-name,type,type-name,timezone,timezone-description,value_energy,value-units,datatype,station,attributes,value_weather
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Eastern,Eastern,85661,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Eastern,Eastern,85661,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Eastern,Eastern,85661,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Eastern,Eastern,85661,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Eastern,Eastern,85661,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Mountain,Mountain,85585,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WACM,Western Area Power Administration - Rocky Mountain Region,D,Demand,Pacific,Pacific,85512,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Arizona,Arizona,19188,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Central,Central,19087,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Eastern,Eastern,19033,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Mountain,Mountain,19141,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WALC,Western Area Power Administration - Desert Southwest Region,D,Demand,Pacific,Pacific,19188,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Arizona,Arizona,2220,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2241,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2241,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2241,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2241,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2241,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2241,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,WAUW,Western Area Power Administration - Upper Great Plains West,D,Demand,Central,Central,2241,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
